id,nnights,nadults,nchildren,planning,sex,age,education,income,region,shopping,antiquing,scenery,eatfine,eatcasual,eatfamstyle,eatfastfood,museums,indoorpool,outdoorpool,hiking,gambling,boatswim,fishing,golfing,boattours,rideducks,amusepark,minigolf,gocarting,waterpark,circusworld,tbskishow,helicopter,horseride,standrock,outattract,nearbyattract,movietheater,concerttheater,barpubdance,shopbroadway,bungeejumping
866,2,2,2,One Month or More Ago,Male,35-44,College Grad,Middle Income,Chicago,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
867,4+,2,2,One Month or More Ago,Female,65+,HS Grad or Less,Lower Income,Milwaukee,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
868,3,2,4,One Month or More Ago,Male,25-34,HS Grad or Less,Lower Income,Chicago,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES
869,2,1,2,This Month,Female,35-44,Some College,Lower Income,Minneapolis/StPaul,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
870,4+,2,No kids,This Week,Male,45-54,Post Grad,,Chicago,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO
871,3,3,1,This Month,Male,35-44,Some College,Middle Income,Chicago,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO
872,2,4,2,This Month,Female,25-34,College Grad,Middle Income,Chicago,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
873,4+,1,1,This Month,Male,45-54,Post Grad,Lower Income,Chicago,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES
874,3,4,3,One Month or More Ago,Female,35-44,HS Grad or Less,Lower Income,Other,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
875,4+,2,2,This Month,Male,45-54,HS Grad or Less,Lower Income,Milwaukee,YES,NO,YES,NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO
876,4+,2,2,One Month or More Ago,Female,35-44,HS Grad or Less,Lower Income,Other,YES,NO,YES,NO,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO
877,2,4,No kids,One Month or More Ago,Female,35-44,Post Grad,Middle Income,Chicago,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO
878,4+,2,2,One Month or More Ago,Female,25-34,HS Grad or Less,Lower Income,Chicago,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
879,2,2,No kids,This Week,Female,LT 25,Some College,Lower Income,Other,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
880,2,5+,4,One Month or More Ago,Female,35-44,Some College,Lower Income,Other,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
881,4+,5+,1,One Month or More Ago,Female,35-44,HS Grad or Less,Middle Income,Other,YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES
882,4+,4,3,One Month or More Ago,Male,45-54,Post Grad,Lower Income,Other,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO
883,2,2,2,This Month,Male,35-44,College Grad,Middle Income,Other,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO
884,2,2,2,This Month,Male,65+,HS Grad or Less,Lower Income,Other,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
885,4+,4,2,One Month or More Ago,Female,35-44,Some College,Lower Income,Milwaukee,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO
886,0,2,2,This Week,Female,35-44,HS Grad or Less,Middle Income,Other,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO
887,3,2,3,One Month or More Ago,Male,35-44,Some College,Middle Income,Other,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO
888,4+,2,2,This Month,Male,45-54,Post Grad,Upper Income,Other Wisconsin,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO
889,4+,4,5+,One Month or More Ago,Female,35-44,College Grad,Upper Income,Chicago,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO
890,1,3,1,This Week,Female,25-34,HS Grad or Less,,Other,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES
891,2,2,2,This Month,Male,35-44,Some College,Lower Income,Other,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO
892,3,4,No kids,One Month or More Ago,Female,45-54,HS Grad or Less,Lower Income,Chicago,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO
893,2,2,3,This Month,Male,45-54,HS Grad or Less,Lower Income,Milwaukee,YES,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO
894,0,2,2,This Month,Male,45-54,Some College,Lower Income,Other Wisconsin,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO
895,0,3,1,This Week,Male,35-44,Some College,Lower Income,Other Wisconsin,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO
896,4+,2,2,One Month or More Ago,Female,35-44,Post Grad,Middle Income,Minneapolis/StPaul,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
897,0,2,3,This Month,Male,45-54,HS Grad or Less,Lower Income,Chicago,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO
898,2,4,3,One Month or More Ago,Male,25-34,HS Grad or Less,Middle Income,Milwaukee,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO
899,3,5+,5+,One Month or More Ago,Male,45-54,College Grad,Middle Income,Minneapolis/StPaul,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO
900,1,2,2,One Month or More Ago,Female,45-54,Post Grad,Middle Income,Milwaukee,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES
901,4+,2,1,One Month or More Ago,Female,35-44,College Grad,Lower Income,Milwaukee,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO
902,4+,1,No kids,One Month or More Ago,Male,45-54,Some College,Lower Income,Other,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO
903,2,2,3,This Month,Female,45-54,HS Grad or Less,Middle Income,Other,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO
904,0,3,2,This Month,Male,25-34,Post Grad,Lower Income,Other Wisconsin,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
905,4+,2,2,One Month or More Ago,Male,45-54,HS Grad or Less,Upper Income,Other,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO
906,3,3,3,One Month or More Ago,Female,25-34,Some College,Lower Income,Minneapolis/StPaul,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO
907,4+,2,No kids,One Month or More Ago,Male,45-54,Post Grad,Middle Income,Chicago,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,NO
908,4+,2,3,One Month or More Ago,Male,35-44,College Grad,Upper Income,Other,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES
909,4+,3,No kids,This Month,Female,65+,HS Grad or Less,Lower Income,Chicago,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO
910,3,2,2,One Month or More Ago,Female,45-54,HS Grad or Less,Middle Income,Other,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,YES,NO
911,0,3,4,This Week,Male,65+,College Grad,,Other,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO
912,4+,5+,2,One Month or More Ago,Female,45-54,HS Grad or Less,Lower Income,Other,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO
913,2,2,2,This Month,Female,35-44,Some College,Upper Income,Madison,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO
914,3,2,2,This Week,Male,35-44,Some College,Middle Income,Other,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO
915,1,4,No kids,This Month,Female,45-54,Some College,,Chicago,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,YES,NO,YES,NO
916,2,2,2,One Month or More Ago,Male,25-34,HS Grad or Less,Lower Income,Milwaukee,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NO,YES,NO
917,4+,2,3,One Month or More Ago,Female,35-44,Post Grad,Upper Income,Minneapolis/StPaul,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO
918,2,2,1,This Month,Female,35-44,HS Grad or Less,Middle Income,Madison,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO
919,4+,5+,5+,One Month or More Ago,Female,35-44,College Grad,Lower Income,Chicago,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO
920,3,2,2,One Month or More Ago,Male,35-44,Some College,Lower Income,Milwaukee,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,YES,NO
921,3,5+,3,One Month or More Ago,Female,45-54,College Grad,Upper Income,Chicago,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO
922,1,2,No kids,One Month or More Ago,Male,45-54,HS Grad or Less,Lower Income,Other Wisconsin,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO
923,4+,4,2,This Week,Female,65+,HS Grad or Less,,Other,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO
924,2,2,1,One Month or More Ago,Male,55-64,Some College,Lower Income,Other,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO
925,0,4,No kids,This Week,Female,45-54,HS Grad or Less,,Madison,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,YES,NO
926,3,2,2,One Month or More Ago,Female,25-34,College Grad,Middle Income,Chicago,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,YES,NO
927,3,2,2,One Month or More Ago,Female,35-44,Some College,Lower Income,Minneapolis/StPaul,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO
928,0,2,3,One Month or More Ago,Female,35-44,Post Grad,Middle Income,Milwaukee,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO
929,0,1,2,One Month or More Ago,Female,45-54,Some College,Middle Income,Other,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,NO
930,4+,2,1,This Month,Male,25-34,College Grad,Middle Income,Chicago,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO
931,1,3,1,One Month or More Ago,Male,25-34,Some College,Middle Income,Milwaukee,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO
932,2,2,2,This Month,Male,35-44,Some College,,Minneapolis/StPaul,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
933,2,1,3,This Week,Female,45-54,HS Grad or Less,Lower Income,Madison,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO
934,4+,4,5+,One Month or More Ago,Female,25-34,Some College,Lower Income,Milwaukee,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO
935,0,2,No kids,This Week,Male,55-64,HS Grad or Less,Middle Income,Madison,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO
936,0,5+,No kids,One Month or More Ago,Male,45-54,Post Grad,Lower Income,Other,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO
937,2,2,1,One Month or More Ago,Female,35-44,Some College,Middle Income,Chicago,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO
938,2,1,3,One Month or More Ago,Male,35-44,Post Grad,Middle Income,Minneapolis/StPaul,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO
939,4+,2,3,One Month or More Ago,Female,25-34,College Grad,Middle Income,Chicago,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO
940,2,1,No kids,One Month or More Ago,Male,35-44,College Grad,,Milwaukee,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO
941,3,2,3,One Month or More Ago,Female,45-54,College Grad,Middle Income,Chicago,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO
942,0,4,No kids,One Month or More Ago,Male,45-54,College Grad,,Other,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO
943,2,2,No kids,This Month,Female,25-34,College Grad,Lower Income,Other Wisconsin,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO
944,2,2,2,One Month or More Ago,Female,35-44,Some College,Middle Income,Other,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO
945,1,2,2,One Month or More Ago,Male,35-44,HS Grad or Less,Lower Income,Madison,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO
946,0,2,No kids,This Week,Female,LT 25,HS Grad or Less,Lower Income,Madison,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
947,3,2,4,This Month,Male,45-54,HS Grad or Less,Lower Income,Other,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
948,1,2,1,This Month,Male,35-44,Some College,Lower Income,Milwaukee,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
949,2,2,1,This Week,Male,65+,College Grad,Lower Income,Other,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
950,0,2,2,One Month or More Ago,Female,35-44,Some College,Lower Income,Madison,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
951,4+,4,5+,One Month or More Ago,Female,55-64,HS Grad or Less,Middle Income,Chicago,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO
952,3,2,4,One Month or More Ago,Male,35-44,Some College,Middle Income,Other,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO
953,2,2,2,One Month or More Ago,Female,35-44,Post Grad,Middle Income,Chicago,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO
954,3,2,1,One Month or More Ago,Female,35-44,Post Grad,Lower Income,Other,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
955,4+,2,1,One Month or More Ago,Male,25-34,Some College,Lower Income,Other,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO
956,2,2,2,One Month or More Ago,Female,35-44,College Grad,Middle Income,Other,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
957,1,5+,2,One Month or More Ago,Female,45-54,Post Grad,Upper Income,Other,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO
958,2,2,2,This Month,Male,25-34,College Grad,Middle Income,Other,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO
959,2,4,4,This Month,Male,45-54,College Grad,Middle Income,Chicago,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO
960,3,2,2,One Month or More Ago,Female,45-54,Post Grad,Upper Income,Chicago,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
961,0,2,3,This Week,Female,35-44,Some College,Lower Income,Other,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
962,2,4,5+,One Month or More Ago,Male,35-44,College Grad,Middle Income,,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO
963,4+,2,1,One Month or More Ago,Female,35-44,Post Grad,Upper Income,Milwaukee,YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO
964,4+,1,2,One Month or More Ago,Female,45-54,College Grad,Lower Income,Chicago,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO
