pick,income,moves,age,education,employment,usage,nonpub,reachout,card
OCC,15-25,0,25-34,Coll,F,19,NO,NO,NO
OCC,,0,65+,Coll,R,6,NO,NO,NO
ATT,<7.5,1,18-24,HS,P,0,YES,NO,NO
ATT,7.5-15,2,35-44,HS,F,4,YES,NO,YES
OCC,,1,35-44,Voc,F,4,NO,NO,NO
ATT,7.5-15,1,35-44,<HS,F,1,YES,NO,NO
OCC,15-25,0,25-34,<HS,H,6,YES,,
ATT,15-25,0,45-54,<HS,F,8,YES,NO,NO
OCC,<7.5,1,18-24,Voc,F,3,YES,NO,NO
OCC,7.5-15,2,35-44,<HS,D,1,NO,NO,NO
ATT,45-75,0,45-54,BA,F,28,NO,NO,YES
OCC,45-75,3,18-24,HS,F,20,NO,NO,NO
ATT,7.5-15,1,25-34,Coll,F,3,NO,NO,NO
OCC,45-75,2,35-44,BA,F,6,YES,NO,YES
OCC,15-25,1,35-44,Voc,F,9,NO,NO,NO
ATT,15-25,0,18-24,HS,F,85,NO,NO,YES
ATT,25-35,0,35-44,HS,F,5,YES,NO,NO
ATT,,1,35-44,<HS,P,45,NO,NO,YES
OCC,,0,45-54,<HS,,4,YES,NO,NO
OCC,25-35,1,18-24,HS,F,0,NO,NO,NO
ATT,35-45,1,25-34,HS,F,13,YES,NO,NO
ATT,45-75,1,35-44,Coll,S,119,YES,NO,NO
ATT,15-25,4,25-34,>BA,F,43,NO,NO,NO
ATT,,0,25-34,HS,F,5,YES,NO,NO
ATT,,0,,<HS,P,58,YES,NO,YES
OCC,15-25,1,25-34,HS,F,8,NO,NO,NO
ATT,15-25,0,18-24,HS,F,2,NO,NO,NO
ATT,25-35,0,65+,HS,R,13,NO,NO,NO
ATT,45-75,0,35-44,HS,F,1,YES,NO,YES
OCC,,0,35-44,Coll,F,0,YES,NO,NO
ATT,35-45,1,35-44,Voc,F,2,YES,NO,NO
OCC,25-35,1,35-44,HS,F,1,YES,,
OCC,25-35,0,25-34,Voc,F,12,YES,NO,YES
ATT,25-35,0,25-34,<HS,P,2,YES,NO,NO
ATT,,1,25-34,<HS,F,0,YES,NO,NO
ATT,,1,45-54,<HS,U,5,NO,NO,NO
OCC,<7.5,4,18-24,HS,U,12,YES,,
OCC,25-35,1,18-24,Coll,U,7,NO,NO,NO
OCC,15-25,3,25-34,HS,H,6,YES,NO,YES
OCC,25-35,0,35-44,Coll,H,6,NO,NO,NO
OCC,,,,,,132,NO,NO,NO
OCC,7.5-15,3,45-54,HS,F,69,NO,NO,NO
ATT,<7.5,4,18-24,HS,F,4,YES,YES,NO
ATT,35-45,0,25-34,HS,F,10,NO,NO,YES
ATT,7.5-15,3,25-34,HS,F,11,NO,NO,YES
OCC,<7.5,3,65+,<HS,H,3,NO,NO,NO
ATT,7.5-15,1,25-34,HS,S,38,YES,NO,NO
ATT,<7.5,1,25-34,HS,P,8,YES,NO,NO
ATT,35-45,5,25-34,Coll,F,84,NO,NO,NO
ATT,25-35,4,25-34,BA,F,55,NO,NO,NO
ATT,35-45,1,25-34,HS,F,29,NO,NO,NO
ATT,15-25,4,25-34,Coll,F,50,NO,NO,YES
ATT,,2,45-54,Coll,H,8,NO,NO,NO
OCC,25-35,1,35-44,HS,F,0,,NO,NO
OCC,7.5-15,6,35-44,HS,F,0,NO,NO,NO
OCC,7.5-15,1,25-34,HS,F,2,YES,NO,YES
ATT,35-45,2,25-34,>BA,F,7,YES,NO,NO
